# Hatalı Linkler Listesi Veri Seti (Ders Adı | Hafta | Konu/Bağlam | Link)

    "LIC002 Lineer Cebir|13. Hafta|Özdeğerler ve Özvektörlere Giriş (Eigenvalues)|https://math.libretexts.org/Bookshelves/Linear_Algebra/Fundamentals_of_Matrix_Algebra_(Hartman)/04%3A_Eigenvalues_and_Eigenvectors/4.02%3A_Properties_of_Eigenvalues_and_Eigenvectors"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|6. Hafta|Word'de Paragraf Biçimlendirme|https://kemalsahin.com/docs/microsoft-word-egitimi/temel-bilgiler-ve-ms-worde-giris/microsoft-word-paragraf-bicimlendirme-islemleri/"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|7. Hafta|Word'de Tablo Ekleme|https://aysegultozan20.weebly.com/tablo-ekle-ve-duumlzen.html"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|9. Hafta|Excel'de Formüllere Giriş|https://support.microsoft.com/tr-tr/office/form%C3%BCl-girme-2e99d6c8-f681-44d4-b6e6-a8fad1a47b2a"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|10. Hafta|Excel'de Koşullu Biçimlendirme|https://support.microsoft.com/tr-tr/office/excel-de-bilgileri-vurgulamak-i%C3%A7in-ko%C5%9Fullu-bi%C3%A7imlendirme-kullanma-fed60dfa-1d3f-4e13-9ecb-f1951ff89d7f"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|11. Hafta|Excel'de Özet Tablo (PivotTable) Oluşturma|https://support.microsoft.com/tr-tr/office/%C3%A7al%C4%B1%C5%9Fma-sayfas%C4%B1-verilerini-%C3%A7%C3%B6z%C3%BCmlemek-i%C3%A7in-pivottable-olu%C5%9Fturma-a9a84538-bfe9-40a9-a8e9-f99134456576"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|12. Hafta|Office'te Makro Oluşturma|https://support.microsoft.com/tr-tr/office/makro-olu%C5%9Fturma-veya-%C3%A7al%C4%B1%C5%9Ft%C4%B1rma-c6b99036-905c-49a6-818a-dfb98b7c3c9c"
    "TBT001 Temel Bilgi Teknolojileri Kullanımı|14. Hafta|PowerPoint'te Ses Ekleme ve Silme|https://support.microsoft.com/tr-tr/office/powerpoint-sununuzda-ses-ekleme-veya-silme-c3b2a9fd-2547-41d9-9182-3dfaa58f1316"
    "TDİ101 Türk Dili I|1. Hafta|Dilbilimine Giriş|https://www.isa-sari.com/ders-notlari/DG.pdf"
    "TDİ101 Türk Dili I|2. Hafta|Türk Dili Üzerine Akademik Makale İncelemesi|https://dergipark.org.tr/tr/pub/rumelide/article/1012461"
    "TDİ101 Türk Dili I|7. Hafta|Türk Dili Üzerine Akademik Makale İncelemesi|https://dergipark.org.tr/tr/pub/rumelide/article/1012461"
    "TDİ101 Türk Dili I|8. Hafta|Yazım Kuralları|https://sehithuseyinavnibeyoo.meb.k12.tr/meb_iys_dosyalar/01/18/751903/dosyalar/2017_12/08091054_YAZIM_KURALLARI.pdf"
    "TDİ101 Türk Dili I|11. Hafta|Yazılı Anlatım Makale İncelemesi|https://edubirdie.com/blog/article-review"
    "TDİ101 Türk Dili I|13. Hafta|Resmi Yazışma Kuralları|https://www.tccb.gov.tr/assets/dosya/resmiyazisma/dosyalar/kilavuz.pdf"
    "YDİ109 Yabancı Dil I (İngilizce)|7. Hafta|Passive Voice (Edilgen Yapı)|https://dersimizingilizce.com/ingilizce-passive-voice-ingilizce-edilgen-yapi.html"
    "YDİ109 Yabancı Dil I (İngilizce)|10. Hafta|Prepositions of Place (Yer Edatları)|https://enwadil.com/prepositions-of-place-yer-edatlari-konu-anlatimi/"
    "YDİ109 Yabancı Dil I (İngilizce)|11. Hafta|Countable and Uncountable Nouns (Sayılabilen/Sayılamayan İsimler)|https://online.lemonacademy.com.tr/blog/ingilizcede-sayilabilen-ve-sayilamayan-isimler"
    "YDİ109 Yabancı Dil I (İngilizce)|12. Hafta|Relative Clauses (İlgi Cümlecikleri)|https://www.ef.com.tr/ingilizce-ogreniyorum/ingilizce-gramer/tanimlayici-ilgi-cumlecikleri/"
    "YDİ109 Yabancı Dil I (İngilizce)|14. Hafta|Conditionals 1 (Koşul Cümleleri Tip 1)|https://www.ef.com.tr/ingilizce-ogreniyorum/ingilizce-gramer/type-1-conditional/"
    "BMB110 Bilgisayar Programlama|2. Hafta|Algoritmalar ve Akış Şemaları (Flowcharts)|https://web.karabuk.edu.tr/ismail.karas/834/Bazi_Temel_Bilgiler.pdf"
    "TDİ102 Türk Dili II|1. Hafta|Anlatım Bozuklukları / Türk Dili Makalesi|https://dergipark.org.tr/en/download/article-file/319377"
    "TDİ102 Türk Dili II|2. Hafta|Yazım Kuralları|https://sehithuseyinavnibeyoo.meb.k12.tr/meb_iys_dosyalar/01/18/751903/dosyalar/2017_12/08091054_YAZIM_KURALLARI.pdf"
    "TDİ102 Türk Dili II|5. Hafta|Etkili İletişim ve Beden Dili|https://yasamboyu.hacettepe.edu.tr/egitimler/etkili-iletisim-beden-dili-ve-diksiyon-egitimi-programi/"
    "TDİ102 Türk Dili II|6. Hafta|Sözlü Anlatım Türleri Makalesi|https://www.turkedebiyati.org/sozlu-anlatim-konusma-turleri/"
    "TDİ102 Türk Dili II|10. Hafta|Resmi Yazışma Kuralları|https://www.tccb.gov.tr/assets/dosya/resmiyazisma/dosyalar/kilavuz.pdf"
    "TDİ102 Türk Dili II|13. Hafta|Edebi Metinler Üzerine Makale İncelemesi|https://dergipark.org.tr/en/download/article-file/1187081"
    "YDİ110 Yabancı Dil II (İngilizce)|8. Hafta|Atatürk İnkılapları (İngilizce Okuma/Çeviri Pratiği)|https://www.konusarakogren.com/blog/ingilizce-tanitimiataturk-ilkeleri/"
    "YDİ110 Yabancı Dil II (İngilizce)|9. Hafta|Atatürk İlkeleri (İngilizce Okuma/Çeviri Pratiği)|https://www.konusarakogren.com/blog/ingilizce-tanitimiataturk-ilkeleri/"
    "ATİ102 Atatürk İlkeleri ve İnkılâp Tarihi II|8. Hafta|Atatürk İnkılapları|https://ata.msb.gov.tr/Sayfa/SayfaGoster/ataturk-inkilaplari"
    "ATİ102 Atatürk İlkeleri ve İnkılâp Tarihi II|9. Hafta|Atatürk İlkeleri|https://ata.msb.gov.tr/Sayfa/SayfaGoster/ataturk-inkilaplari"
    "BMB208 Ayrık Matematik|2. Hafta|Önermeler Mantığı (Propositional Logic)|https://iep.utm.edu/propositional-logic-sentential-logic/"
    "BMB208 Ayrık Matematik|6. Hafta|Cebirsel Yapılar (Algebraic Structures)|https://en.wikipedia.org/wiki/Algebraic_structure"
    "BMB208 Ayrık Matematik|9. Hafta|Ayrık Matematik Algoritmaları|https://firism.com/assets/pdf/firism_ayrik_matematik_algoritmik_karma%C5%9F%C4%B1kl%C4%B1k.pdf"
    "BMB210 Elektroniğe Giriş|2. Hafta|Diyotlar ve Doğrultuculara Giriş|https://solutions.mccsemi.com/rectifier-diodes-explained-a-complete-engineers-guide-to-types-and-applications"
    "BMB210 Elektroniğe Giriş|3. Hafta|BJT (Bipolar Jonksiyonlu Transistörler)|https://en.wikipedia.org/wiki/Bipolar_junction_transistor"
    "BMB210 Elektroniğe Giriş|4. Hafta|BJT Özellikleri ve Uygulamaları|https://en.wikipedia.org/wiki/Bipolar_junction_transistor"
    "BMB210 Elektroniğe Giriş|5. Hafta|FET (Alan Etkili Transistörler)|https://acikders.ankara.edu.tr/pluginfile.php/40564/mod_resource/content/1/Alan%20Etkili%20Transist%C3%B6rler%20%28Field%20Effect%20Transistors%29.pdf"
